Channel,LocID Root,Baseline,Band,Inst. Code,Orien. Code,sps,LocID,Chan Code,locID.CHA
109,VBB 2 Velocity High Gain Science mode,00,Transmitted raw data,M,H,V,4,01,MHV,01.MHV
110,VBB 2 Velocity High Gain Science mode,00,Transmitted raw data,M,H,V,2,02,MHV,02.MHV
111,VBB 2 Velocity High Gain Science mode,00,Transmitted raw data,L,H,V,1,00,LHV,00.LHV
112,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,H,L,V,100,05,HLV,05.HLV
113,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,V,50,05,BLV,05.BLV
114,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,V,25,06,BLV,06.BLV
115,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,V,20,07,BLV,07.BLV
116,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,V,10,08,BLV,08.BLV
117,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,M,L,V,5,05,MLV,05.MLV
118,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,M,L,V,4,06,MLV,06.MLV
119,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,M,L,V,2,07,MLV,07.MLV
120,VBB 2 Velocity Low Gain Science mode,05,Transmitted raw data,L,L,V,1,05,LLV,05.LLV
121,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,H,H,V,100,10,HHV,10.HHV
122,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,V,50,10,BHV,10.BHV
123,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,V,25,11,BHV,11.BHV
124,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,V,20,12,BHV,12.BHV
125,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,V,10,13,BHV,13.BHV
126,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,M,H,V,5,10,MHV,10.MHV
127,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,M,H,V,4,11,MHV,11.MHV
128,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,M,H,V,2,12,MHV,12.MHV
129,VBB 2 Velocity High Gain Engin. mode,10,Transmitted raw data,L,H,V,1,10,LHV,10.LHV
130,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,H,L,V,100,15,HLV,15.HLV
131,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,V,50,15,BLV,15.BLV
132,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,V,25,16,BLV,16.BLV
133,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,V,20,17,BLV,17.BLV
134,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,V,10,18,BLV,18.BLV
135,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,M,L,V,5,15,MLV,15.MLV
136,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,M,L,V,4,16,MLV,16.MLV
137,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,M,L,V,2,17,MLV,17.MLV
138,VBB 2 Velocity Low Gain Engin. mode,15,Transmitted raw data,L,L,V,1,15,LLV,15.LLV
139,VBB 2 Position High Gain Science mode,00,Transmitted raw data,L,M,V,1,00,LMV,00.LMV
140,VBB 2 Position High Gain Science mode,00,Transmitted raw data,V,M,V,0.5,00,VMV,00.VMV
141,VBB 2 Position High Gain Science mode,00,Transmitted raw data,V,M,V,0.25,01,VMV,01.VMV
142,VBB 2 Position High Gain Science mode,00,Transmitted raw data,V,M,V,0.2,02,VMV,02.VMV
143,VBB 2 Position High Gain Science mode,00,Transmitted raw data,V,M,V,0.1,03,VMV,03.VMV
144,VBB 2 Position High Gain Science mode,00,Transmitted raw data,U,M,V,0.05,00,UMV,00.UMV
145,VBB 2 Position High Gain Science mode,00,Transmitted raw data,U,M,V,0.025,01,UMV,01.UMV
146,VBB 2 Position High Gain Science mode,00,Transmitted raw data,U,M,V,0.02,02,UMV,02.UMV
147,VBB 2 Position High Gain Science mode,00,Transmitted raw data,U,M,V,0.01,03,UMV,03.UMV
148,VBB 2 Position High Gain Science mode,00,Transmitted raw data,R,M,V,0.005,00,RMV,00.RMV
149,VBB 2 Position High Gain Science mode,00,Transmitted raw data,R,M,V,0.001,01,RMV,01.RMV
150,VBB 2 Position High Gain Science mode,00,Transmitted raw data,R,M,V,1/1800,02,RMV,02.RMV
151,VBB 2 Position High Gain Science mode,00,Transmitted raw data,R,M,V,1/3600,03,RMV,03.RMV
152,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,L,M,V,1,05,LMV,05.LMV
153,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,V,M,V,0.5,05,VMV,05.VMV
154,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,V,M,V,0.25,06,VMV,06.VMV
155,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,V,M,V,0.2,07,VMV,07.VMV
156,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,V,M,V,0.1,08,VMV,08.VMV
157,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,U,M,V,0.05,05,UMV,05.UMV
158,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,U,M,V,0.025,06,UMV,06.UMV
